Date,Platform,Sentiment,Location,Engagements,Media_Type,Influencer_Brand,Post_Type
2023-12-08,TikTok,Positive,Jakarta,6285,Text,@snackattack | SwayTea,Promo
2023-12-28,X/Twitter,Neutral,Jakarta,6788,Video,@snackattack | SwayTea,Behind the Scenes
2023-12-22,TikTok,Positive,Makassar,17201,Carousel,@snackattack | SwayTea,Review
2023-12-23,X/Twitter,Negative,Bandung,10796,Video,@drinkculture | SwayTea,Review
2023-12-02,TikTok,Neutral,Jakarta,8177,Image,@snackattack | SwayTea,Collab
2023-12-17,TikTok,Positive,Yogyakarta,1575,Image,@drinkculture | SwayTea,Promo
2023-12-23,Instagram,Positive,Makassar,13927,Text,@drinkculture | SwayTea,Behind the Scenes
2023-12-24,TikTok,Neutral,Makassar,6592,Video,@tastebuds.id | SwayTea,Collab
2023-12-26,YouTube,Positive,Makassar,1749,Image,@kulinerhits | SwayTea,Collab
2023-12-20,TikTok,Positive,Medan,14788,Carousel,@tastebuds.id | SwayTea,Review
2023-12-30,TikTok,Positive,Denpasar,9322,Text,@kulinerhits | SwayTea,Review
2023-12-03,X/Twitter,Positive,Denpasar,19605,Carousel,@drinkculture | SwayTea,Promo
2023-12-06,X/Twitter,Neutral,Jakarta,1076,Image,@drinkculture | SwayTea,Collab
2023-12-21,Instagram,Positive,Yogyakarta,1010,Carousel,@tastebuds.id | SwayTea,Behind the Scenes
2023-12-18,Instagram,Positive,Medan,16808,Video,@tastebuds.id | SwayTea,Promo
2023-12-19,X/Twitter,Positive,Surabaya,7792,Text,@tastebuds.id | SwayTea,Review
2023-12-08,YouTube,Positive,Denpasar,16136,Image,@drinkculture | SwayTea,Product Launch
2023-12-02,TikTok,Positive,Makassar,3043,Text,@snackattack | SwayTea,Behind the Scenes
2023-12-20,Instagram,Positive,Yogyakarta,4200,Image,@snackattack | SwayTea,Promo
2023-12-23,Instagram,Neutral,Denpasar,16331,Carousel,@kulinerhits | SwayTea,Promo
2023-12-07,X/Twitter,Positive,Denpasar,9622,Video,@tastebuds.id | SwayTea,Promo
2023-12-26,Instagram,Positive,Medan,2157,Text,@snackattack | SwayTea,Review
2023-12-27,YouTube,Positive,Makassar,4151,Carousel,@genzfoodie | SwayTea,Product Launch
2023-12-23,TikTok,Positive,Makassar,15793,Video,@tastebuds.id | SwayTea,Promo
2023-12-09,Instagram,Negative,Bandung,16386,Text,@drinkculture | SwayTea,Promo
2023-12-31,Instagram,Positive,Denpasar,12094,Carousel,@genzfoodie | SwayTea,Product Launch
2023-12-05,TikTok,Positive,Bandung,2526,Image,@snackattack | SwayTea,Behind the Scenes
2023-12-18,Instagram,Positive,Medan,5915,Video,@genzfoodie | SwayTea,Collab
2023-12-31,TikTok,Neutral,Bandung,13126,Image,@kulinerhits | SwayTea,Promo
2023-12-04,YouTube,Positive,Surabaya,15575,Image,@drinkculture | SwayTea,Product Launch
2023-12-25,Instagram,Positive,Makassar,3746,Image,@snackattack | SwayTea,Collab
2023-12-20,Instagram,Positive,Surabaya,3615,Text,@kulinerhits | SwayTea,Promo
2023-12-31,Instagram,Positive,Denpasar,3476,Video,@tastebuds.id | SwayTea,Product Launch
2023-12-19,X/Twitter,Neutral,Makassar,7575,Video,@kulinerhits | SwayTea,Review
2023-12-01,YouTube,Positive,Bandung,11075,Video,@snackattack | SwayTea,Promo
2023-12-11,YouTube,Positive,Surabaya,4290,Image,@kulinerhits | SwayTea,Product Launch
2023-12-31,YouTube,Positive,Denpasar,12259,Text,@kulinerhits | SwayTea,Review
2023-12-23,X/Twitter,Positive,Medan,9165,Text,@genzfoodie | SwayTea,Collab
2023-12-23,YouTube,Positive,Yogyakarta,13574,Text,@tastebuds.id | SwayTea,Product Launch
2023-12-06,YouTube,Neutral,Makassar,6637,Image,@snackattack | SwayTea,Review
2023-12-14,X/Twitter,Neutral,Bandung,9849,Video,@genzfoodie | SwayTea,Review
2023-12-12,Instagram,Positive,Bandung,18888,Carousel,@genzfoodie | SwayTea,Behind the Scenes
2023-12-05,Instagram,Neutral,Surabaya,9853,Video,@tastebuds.id | SwayTea,Behind the Scenes
2023-12-23,TikTok,Positive,Yogyakarta,7150,Image,@tastebuds.id | SwayTea,Review
2023-12-12,YouTube,Positive,Jakarta,16441,Image,@kulinerhits | SwayTea,Collab
2023-12-09,X/Twitter,Neutral,Denpasar,15871,Text,@tastebuds.id | SwayTea,Behind the Scenes
2023-12-08,Instagram,Positive,Makassar,15118,Carousel,@kulinerhits | SwayTea,Promo
2023-12-13,TikTok,Neutral,Denpasar,2562,Video,@kulinerhits | SwayTea,Review
2023-12-13,YouTube,Positive,Bandung,11963,Text,@drinkculture | SwayTea,Promo
2023-12-07,X/Twitter,Positive,Jakarta,17698,Image,@snackattack | SwayTea,Behind the Scenes
2023-12-07,TikTok,Positive,Denpasar,13763,Video,@kulinerhits | SwayTea,Collab
2023-12-07,TikTok,Negative,Medan,5579,Image,@snackattack | SwayTea,Product Launch
2023-12-02,TikTok,Neutral,Makassar,19710,Text,@drinkculture | SwayTea,Review
2023-12-26,TikTok,Positive,Bandung,12967,Text,@tastebuds.id | SwayTea,Promo
2023-12-21,TikTok,Neutral,Surabaya,12636,Text,@tastebuds.id | SwayTea,Behind the Scenes
2023-12-07,TikTok,Positive,Denpasar,12643,Image,@snackattack | SwayTea,Collab
2023-12-22,Instagram,Positive,Jakarta,9858,Text,@snackattack | SwayTea,Review
2023-12-28,X/Twitter,Positive,Denpasar,18202,Text,@drinkculture | SwayTea,Behind the Scenes
2023-12-16,X/Twitter,Positive,Makassar,7989,Image,@genzfoodie | SwayTea,Review
2023-12-12,TikTok,Positive,Surabaya,11819,Video,@drinkculture | SwayTea,Behind the Scenes
2023-12-13,Instagram,Positive,Yogyakarta,17926,Image,@drinkculture | SwayTea,Review
2023-12-25,X/Twitter,Positive,Jakarta,3396,Carousel,@snackattack | SwayTea,Behind the Scenes
2023-12-14,X/Twitter,Negative,Jakarta,6847,Image,@kulinerhits | SwayTea,Review
2023-12-27,X/Twitter,Positive,Makassar,915,Carousel,@snackattack | SwayTea,Behind the Scenes
2023-12-02,X/Twitter,Neutral,Yogyakarta,3407,Carousel,@kulinerhits | SwayTea,Behind the Scenes
2023-12-26,TikTok,Negative,Medan,6524,Text,@drinkculture | SwayTea,Review
2023-12-03,TikTok,Positive,Yogyakarta,19159,Carousel,@drinkculture | SwayTea,Collab
2023-12-20,TikTok,Neutral,Makassar,11588,Carousel,@genzfoodie | SwayTea,Promo
2023-12-24,TikTok,Positive,Jakarta,4021,Image,@drinkculture | SwayTea,Promo
2023-12-22,YouTube,Positive,Jakarta,9230,Carousel,@drinkculture | SwayTea,Collab
2023-12-25,X/Twitter,Positive,Jakarta,12023,Carousel,@drinkculture | SwayTea,Review
2023-12-29,YouTube,Neutral,Surabaya,7074,Carousel,@tastebuds.id | SwayTea,Review
2023-12-26,TikTok,Neutral,Denpasar,1621,Carousel,@snackattack | SwayTea,Promo
2023-12-28,YouTube,Positive,Surabaya,6389,Carousel,@snackattack | SwayTea,Behind the Scenes
2023-12-09,TikTok,Positive,Surabaya,17573,Image,@snackattack | SwayTea,Product Launch
2023-12-03,Instagram,Positive,Surabaya,16235,Video,@snackattack | SwayTea,Review
2023-12-09,YouTube,Neutral,Makassar,18442,Carousel,@kulinerhits | SwayTea,Product Launch
2023-12-31,YouTube,Neutral,Bandung,2130,Image,@drinkculture | SwayTea,Product Launch
2023-12-09,TikTok,Positive,Denpasar,3194,Carousel,@genzfoodie | SwayTea,Review
2023-12-29,X/Twitter,Positive,Makassar,11418,Image,@kulinerhits | SwayTea,Behind the Scenes
2023-12-01,Instagram,Negative,Surabaya,15488,Image,@snackattack | SwayTea,Review
2023-12-02,Instagram,Negative,Makassar,17910,Carousel,@tastebuds.id | SwayTea,Collab
2023-12-28,YouTube,Negative,Medan,15604,Carousel,@genzfoodie | SwayTea,Review
2023-12-07,X/Twitter,Neutral,Bandung,14248,Video,@drinkculture | SwayTea,Behind the Scenes
2023-12-21,X/Twitter,Positive,Denpasar,13745,Image,@tastebuds.id | SwayTea,Behind the Scenes
2023-12-01,Instagram,Neutral,Bandung,1678,Image,@snackattack | SwayTea,Review
2023-12-25,X/Twitter,Positive,Jakarta,2412,Carousel,@genzfoodie | SwayTea,Behind the Scenes
2023-12-13,TikTok,Neutral,Bandung,2518,Image,@drinkculture | SwayTea,Promo
2023-12-06,X/Twitter,Positive,Denpasar,16243,Image,@snackattack | SwayTea,Product Launch
2023-12-13,Instagram,Positive,Bandung,7001,Text,@tastebuds.id | SwayTea,Behind the Scenes
2023-12-23,Instagram,Positive,Denpasar,2690,Video,@drinkculture | SwayTea,Collab
2023-12-26,Instagram,Positive,Surabaya,11644,Image,@kulinerhits | SwayTea,Review
2023-12-26,YouTube,Negative,Medan,19763,Carousel,@genzfoodie | SwayTea,Behind the Scenes
2023-12-27,TikTok,Positive,Yogyakarta,19815,Video,@snackattack | SwayTea,Behind the Scenes
2023-12-07,TikTok,Positive,Jakarta,12695,Image,@tastebuds.id | SwayTea,Review
2023-12-14,Instagram,Neutral,Surabaya,17970,Text,@snackattack | SwayTea,Review
2023-12-23,X/Twitter,Neutral,Makassar,15757,Text,@tastebuds.id | SwayTea,Behind the Scenes
2023-12-04,TikTok,Positive,Denpasar,2724,Video,@tastebuds.id | SwayTea,Product Launch
2023-12-23,X/Twitter,Neutral,Jakarta,12523,Text,@genzfoodie | SwayTea,Product Launch
2023-12-16,X/Twitter,Negative,Denpasar,409,Video,@drinkculture | SwayTea,Behind the Scenes
2023-12-13,X/Twitter,Negative,Medan,3986,Carousel,@drinkculture | SwayTea,Product Launch
